UniProtName_A	UniProtName_B
TERA_HUMAN	IF4A2_HUMAN
TERA_HUMAN	HS90B_HUMAN
TERA_HUMAN	ROA1_HUMAN
TERA_HUMAN	VIME_HUMAN
TERA_HUMAN	TBB5_HUMAN
TERA_HUMAN	HNRH1_HUMAN
TERA_HUMAN	CH60_HUMAN
TERA_HUMAN	RL22_HUMAN
TERA_HUMAN	PHB_HUMAN
TERA_HUMAN	RL40_HUMAN
TERA_HUMAN	LAMP2_HUMAN
EIF3B_HUMAN	EIF3I_HUMAN
EIF3B_HUMAN	EIF3D_HUMAN
EIF3B_HUMAN	EIF3C_HUMAN
CD81_HUMAN	TFR1_HUMAN
CD81_HUMAN	GNAI2_HUMAN
CD81_HUMAN	CD81_HUMAN
CD81_HUMAN	ANXA6_HUMAN
CD81_HUMAN	VAMP3_HUMAN
CD81_HUMAN	CHIP_HUMAN
CD81_HUMAN	CD38_HUMAN
CD81_HUMAN	AMRP_HUMAN
CD81_HUMAN	VIME_HUMAN
CD81_HUMAN	G3P_HUMAN
CD81_HUMAN	ATPA_HUMAN
CD81_HUMAN	EIF3B_HUMAN
CD81_HUMAN	EIF3C_HUMAN
CD81_HUMAN	ROA2_HUMAN
CD81_HUMAN	ROA1_HUMAN
CD81_HUMAN	NPM_HUMAN
CD81_HUMAN	HNRH1_HUMAN
CD81_HUMAN	DDX3X_HUMAN
CD81_HUMAN	DDX5_HUMAN
CD81_HUMAN	EIF3I_HUMAN
CD81_HUMAN	HNRPD_HUMAN
CD81_HUMAN	IF4A2_HUMAN
CD81_HUMAN	TBB5_HUMAN
CD81_HUMAN	RS9_HUMAN
CD81_HUMAN	RS19_HUMAN
CD81_HUMAN	RLA0_HUMAN
CD81_HUMAN	RL22_HUMAN
ACTB_HUMAN	RLA1_HUMAN
ACTB_HUMAN	RS12_HUMAN
ACTB_HUMAN	RL22_HUMAN
ACTB_HUMAN	RS19_HUMAN
ACTB_HUMAN	RS10_HUMAN
ACTB_HUMAN	ML12A_HUMAN
ACTB_HUMAN	RL18_HUMAN
ACTB_HUMAN	RS9_HUMAN
ACTB_HUMAN	EF1B_HUMAN
ACTB_HUMAN	DHRS2_HUMAN
ACTB_HUMAN	RL7_HUMAN
ACTB_HUMAN	PHB_HUMAN
ACTB_HUMAN	VDAC3_HUMAN
ACTB_HUMAN	VDAC1_HUMAN
ACTB_HUMAN	NPM_HUMAN
ACTB_HUMAN	RSSA_HUMAN
ACTB_HUMAN	RLA0_HUMAN
ACTB_HUMAN	G3P_HUMAN
ACTB_HUMAN	EIF3I_HUMAN
ACTB_HUMAN	ROA2_HUMAN
ACTB_HUMAN	VDAC2_HUMAN
ACTB_HUMAN	HNRPD_HUMAN
ACTB_HUMAN	ANXA2_HUMAN
ACTB_HUMAN	ROA1_HUMAN
ACTB_HUMAN	ANXA1_HUMAN
ACTB_HUMAN	GNAI2_HUMAN
ACTB_HUMAN	HSP7C_HUMAN
ACTB_HUMAN	IF4A2_HUMAN
ACTB_HUMAN	ENOA_HUMAN
ACTB_HUMAN	HNRH1_HUMAN
ACTB_HUMAN	TBB5_HUMAN
ACTB_HUMAN	VIME_HUMAN
ACTB_HUMAN	CD4_HUMAN
ACTB_HUMAN	ATPA_HUMAN
ACTB_HUMAN	LCK_HUMAN
ACTB_HUMAN	CH60_HUMAN
ACTB_HUMAN	EIF3D_HUMAN
ACTB_HUMAN	SYFB_HUMAN
ACTB_HUMAN	DDX5_HUMAN
ACTB_HUMAN	LPPRC_HUMAN
ACTB_HUMAN	DDX3X_HUMAN
ACTB_HUMAN	NUCL_HUMAN
ACTB_HUMAN	ANXA6_HUMAN
ACTB_HUMAN	SSRP1_HUMAN
ACTB_HUMAN	HS90B_HUMAN
ACTB_HUMAN	NEP_HUMAN
ACTB_HUMAN	HS90A_HUMAN
ACTB_HUMAN	EIF3B_HUMAN
ACTB_HUMAN	IMB1_HUMAN
ACTB_HUMAN	TNPO1_HUMAN
ACTB_HUMAN	EIF3C_HUMAN
ACTB_HUMAN	ACTB_HUMAN
